sum_range_1,standard_score_1,sum_range_2,standard_score_2,sum_range_3,standard_score_3
100-101,49,166-167,83,227-229,117
102,50,168-170,84,230-231,118
103,51,171-172,85,232-233,119
104-105,52,173-174,86,234-235,120
106-107,53,175-176,87,236-237,121
108-109,54,177-178,88,238-239,122
110-111,55,179-180,89,240-241,123
112-113,56,181-182,90,242-243,124
114-115,57,183-184,91,244-245,125
116-117,58,185-186,92,246-247,126
118-119,59,187-188,93,248-249,127
120-121,60,189-190,94,250-251,128
122-123,61,191-192,95,252-253,129
124-125,62,193-195,96,254-255,130
126-127,63,196-197,97,256,131
128-129,64,198,98,257-258,132
130-131,65,199,99,259-260,133
132-133,66,200,100,261-262,134
134-135,67,201,101,263-264,135
136-137,68,202,102,265-266,136
138-139,69,203-204,103,267-268,137
140-141,70,205,104,269-270,138
142-143,71,206-207,105,271-272,139
144,72,208-209,106,273-274,140
145-146,73,210-211,107,275-276,141
147-148,74,212,108,277-278,142
149-150,75,213-214,109,279-280,143
151,76,215-216,110,281-282,144
152-153,77,217-218,111,283-284,145
154-155,78,219,112,285-286,146
156-158,79,220-221,113,287-288,147
159-160,80,222-223,114,289-292,148
161-163,81,224,115,293-296,149
164-165,82,225-226,116,297-300,150
